;;;;;$910;1,5;
;;;;;;;
FAMILIA PRODUCTOS;DESCRIPCIÓN;UNIDAD DE MEDIDA;VALOR PESOS $;PRECIO COSTO NETO  ;TIPO CAMBIO $;PORCENTAJE;PRECIO VENTA NETO 
\PROVISIONES\ABARROTES;BEAN THREAD SOTANGHON NOODLES - FIDEOS DE POROTO 200 GRS;PKT;$1.260;1,38;$910;1,5;2,08
\PROVISIONES\ABARROTES;BEANS BLACK TIN - POROTO NEGRO 340GRS;BOX;$1.253;1,38;$910;1,5;2,07
\PROVISIONES\ABARROTES;BEANS BLACK EYE - POROTO OJO NEGRO;KG;$5.100;5,6;$910;1,5;8,41
\PROVISIONES\ABARROTES;BEANS BROWN - POROTOS CAFE;KG;$3.200;3,52;$910;1,5;5,27
\PROVISIONES\ABARROTES;BEANS WHITE - POROTOS BLANCO;KG;$2.942;3,23;$910;1,5;4,85
\PROVISIONES\ABARROTES;BEEF BOUILLON  - CONCENTRADO CARNE;KG;$2.290;2,52;$910;1,5;3,77
\PROVISIONES\ABARROTES;BEEF CUBES MAGGIE 12 X 10 GRS;PKT;$1.252;1,38;$910;1,5;2,06
\PROVISIONES\ABARROTES;BESAN FLOUR - HARINA DE GARBANZO;KG;$2.689;2,95;$910;1,5;4,43
\PROVISIONES\ABARROTES;BIG TIME 11 G X 5 U - CHICLE BIG TIME;PKT;$400;0,44;$910;1,5;0,66
\PROVISIONES\ABARROTES;BISCUIT GRILL 140 GR - SALTED;PKT;$1.340;1,47;$910;1,5;2,21
\PROVISIONES\ABARROTES;BISCUIT ASSORTED OREO 108 GRS - GALLETAS OREO 108 GR;PKT;$798;0,88;$910;1,5;
\PROVISIONES\ABARROTES;BISCUIT ASTD  120 GR - GALLETAS SURTIDAS 120 GR;PKT;$798;0,88;$910;1,5;1,32
\PROVISIONES\ABARROTES;BISCUIT DANISH - GALLETAS DANESAS 454 GRS;TIN;$5.874;6,45;$910;1,5;9,68
\PROVISIONES\ABARROTES;BISCUIT FRAC 110GRS;PKT;$798;0,88;$910;1,5;1,32
\PROVISIONES\ABARROTES;BISCUIT PLAIN - GALLETAS PLANAS ;KG;$5.206;5,72;$910;1,5;8,58
\PROVISIONES\ABARROTES;BISCUIT TEA TIME 400 GR - GALLETAS PARA TÈ 400 GRS;PKT;$4.194;4,61;$910;1,5;6,91
\PROVISIONES\ABARROTES;BISCUIT WHOLE MEAL  - GALLETA AVENA CLÁSICO 135GRS;PKT;$832;0,91;$910;1,5;1,37
\PROVISIONES\ABARROTES;BISCUIT/ GRANOLA BAR NATURE VALLEY 200GRS/PKT;PKT;$3.858;4,24;$910;1,5;6,36
\PROVISIONES\ABARROTES;BITTER CHOCOLAT 100 GRS - CHOCOLATE AMARGO ;UNID;$2.681;2,95;$910;1,5;4,42
\PROVISIONES\ABARROTES;BLACK EYE BEANS - POROTO NEGRO;KG;$2.605;2,86;$910;1,5;4,29
\PROVISIONES\ABARROTES;BLACK FOREST CAKE FRESH - TORTA SELVA NEGRA 15 PERSON 23-24cm;PCS;$23.529;25,86;$910;1,5;38,78
\PROVISIONES\ABARROTES;BLACK PEPPER POWDER 100GR - PIMIENTA NEGRA 100 GR;PKT;$1.770;1,95;$910;1,5;2,92
\PROVISIONES\ABARROTES;BLACK PEPPER POWDER KILO - PIMIENTA NEGRA KILO;KG;$17.700;19,45;$910;1,5;29,18
\PROVISIONES\ABARROTES;BLACKBERRY JAM - MERMELADA DE MORA 370 GRS;PKT;$3.200;3,52;$910;1,5;
\PROVISIONES\ABARROTES;BON O BON CLASSIC 450 GRS BOX - BON O BON ;BOX;$6.294;6,92;$910;1,5;10,37
\PROVISIONES\ABARROTES;BOUILLON MAGGI SURT 12U - CALDOS SURTIDOS;BOX;$1.252;1,38;$910;1,5;2,06
\PROVISIONES\ABARROTES;BOUILLON CHICKEN - CALDOS MAGGI GALLINA 12U;GRS;$1.252;1,38;$910;1,5;2,06
\PROVISIONES\ABARROTES;BOUILLON MEAT/BEEF - CALDOS MAGGI CARNE 12U;GRS;$1.252;1,38;$910;1,5;2,06
\PROVISIONES\ABARROTES;BOUILLON SAUSAGE - CALDOS MAGGI LONGANIZA 8U;GRS;$1.083;;$910;1,5;
\PROVISIONES\ABARROTES;BREAD CRUMBS - PAN RALLADO;KG;$5.345;5,87;$910;1,5;8,81
\PROVISIONES\ABARROTES;BREAD CRUMBS 250 GR - PAN RALLADO 250 GR;PKT;$1.337;1,47;$910;1,5;2,2
