;;;;;$ 910;1,50;
;;;;;;;
FAMILIA PRODUCTOS;DESCRIPCIÓN;UNID DE MEDIDA;VALOR PESOS;PRECIO COSTO NETO ;VALOR DÓLAR $;PORCENTAJE;PRECIO VENTA NETO 
\PROVISIONES\CARNES;BAY RIBS PORK-COSTILLITAS;KG;$ 12.185;13,39;$ 910;1,50;20,09
\PROVISIONES\CARNES;BACON SLICED SMOKED - TOCINO LAMINADO;KG;$ 8.273;9,09;$ 910;1,50;13,64
\PROVISIONES\CARNES;BEEF BONELESS - CARNICERO;KG;$ 5.544;6,09;$ 910;1,50;9,14
\PROVISIONES\CARNES;BEEF BONES FOR SOUP - HUESOS PARA SOPA;KG;$ 2.650;2,91;$ 910;1,50;4,37
\PROVISIONES\CARNES;BEEF BRISKET - TAPAPECHO;KG;$ 5.975;6,57;$ 910;1,50;9,85
\PROVISIONES\CARNES;BEEF CHUCK - ASADO AMERICANO;KG;$ 12.000;13,19;$ 910;1,50;19,78
\PROVISIONES\CARNES;BEEF CUBE ROLL - LOMO VETADO;KG;$ 11.298;12,42;$ 910;1,50;18,62
\PROVISIONES\CARNES;BEEF DICE FOR STEW - CARNE POSTA CUBOS;KG;$ 7.900;8,68;$ 910;1,50;13,02
\PROVISIONES\CARNES;BEEF FEET  - PATAS DE VACUNO ;KG;$ 2.950;3,24;$ 910;1,50;4,86
\PROVISIONES\CARNES;BEEF GROUND - MOLIDA VACUNO;KG;$ 4.460;4,90;$ 910;1,50;7,35
\PROVISIONES\CARNES;BEEF LIVER - HIGADO VACUNO;KG;$ 2.990;3,29;$ 910;1,50;4,93
\PROVISIONES\CARNES;BEEF RIBS - ASADO DE TIRA;KG;$ 9.900;10,88;$ 910;1,50;16,32
\PROVISIONES\CARNES;BEEF RUMP - ASIENTO;KG;$ 9.020;9,91;$ 910;1,50;14,87
\PROVISIONES\CARNES;BEEF SHANK - OSOBUCO BONE IN;KG;$ 8.950;9,84;$ 910;1,50;14,75
\PROVISIONES\CARNES;BEEF SILVERSIDE - POLLO GANSO;KG;$ 6.878;7,56;$ 910;1,50;11,34
\PROVISIONES\CARNES;BEEF STRIPLOIN - LOMO LISO;KG;$ 8.862;9,74;$ 910;1,50;14,61
\PROVISIONES\CARNES;BEEF T BONE STEAK - ENTRECOTT;KG;$ 11.900;13,08;$ 910;1,50;19,62
\PROVISIONES\CARNES;BEEF TAILS - COLAS;KG;$ 5.090;5,59;$ 910;1,50;8,39
\PROVISIONES\CARNES;BEEF TENDERLOIN - FILETE VACUNO;KG;$ 12.306;13,52;$ 910;1,50;20,28
\PROVISIONES\CARNES;BEEF THICKFLAK - POSTA ROSADA ;KG;$ 7.130;7,84;$ 910;1,50;11,75
\PROVISIONES\CARNES;BEEF TONGUE - LENGUA DE VACUNO;KG;$ 6.850;7,53;$ 910;1,50;11,29
\PROVISIONES\CARNES;BEEF TOP SIDE - POSTA NEGRA;KG;$ 9.000;9,89;$ 910;1,50;14,84
\PROVISIONES\CARNES;BEEF TRIPE - GUATACALLO;KG;$ 4.500;4,95;$ 910;1,50;7,42
\PROVISIONES\CARNES;BEFF BURGER PATTIES - HAMBURGUESA DE CARNE;KG;$ 9.160;10,07;$ 910;1,50;15,10
\PROVISIONES\CARNES;BOLIED HAM SLICED - JAMON SANDWICH LAMINADO;KG;$ 5.990;6,58;$ 910;1,50;9,87
\PROVISIONES\CARNES;BOILED HAM - JAMON SANDWICH (pieza);KG;$ 3.900;4,29;$ 910;1,50;6,43
\PROVISIONES\CARNES;BURGER BEANS - HAMBURGUESA VEGETAL 100 GRS;UNID;$ 1.000;1,10;$ 910;1,50;1,65
\PROVISIONES\CARNES;CHICKEN BREAST B/LESS - PECHUGA DESHUESADA DE POLLO 15-20 KG/CASE;KG;$ 3.490;3,84;$ 910;1,50;5,75
\PROVISIONES\CARNES;CHICKEN BREAST BONE IN - PECHUGA ENTERA DE POLLO;KG;$ 2.915;3,20;$ 910;1,50;4,80
\PROVISIONES\CARNES;CHICKEN BURGER - HAMBURGUESA DE POLLO;KG;$ 8.236;9,05;$ 910;1,50;13,58
\PROVISIONES\CARNES;CHICKEN DRUMSTICK B/IN - TRUTRO LARGO DE POLLO 12KG/CS;KG;$ 1.850;2,03;$ 910;1,50;3,05
\PROVISIONES\CARNES;CHICKEN FEET - PATAS DE POLLO;KG;$ 3.400;3,74;$ 910;1,50;5,60
\PROVISIONES\CARNES;CHICKEN FURTER/SAUSAGE - VIENESA POLLO;KG;$ 2.194;2,41;$ 910;1,50;3,62
\PROVISIONES\CARNES;CHICKEN GIZZARD - CONTRE DE POLLO;KG;$ 2.050;2,25;$ 910;1,50;3,38
\PROVISIONES\CARNES;CHICKEN LEG QUARTER - TRUTRO DE POLLO 15-20 KG/CS;KG;$ 1.690;1,86;$ 910;1,50;2,79
\PROVISIONES\CARNES;CHICKEN LIVER - HIGADO POLLO;KG;$ 710;0,78;$ 910;1,50;1,17
