;;;;;$ 910;1,50;;;;
;;;;;;;;;;
FAMILIA PRODUCTOS;DESCRIPCIÓN;UNIDAD DE MEDIDA;COSTO NETO PESOS;PRECIO COSTO DÓLAR;VALOR DÓLAR $;PORCENTAJE;PRECIO VENTA NETO ;;;
\PROVISIONES\BEBESTIBLES;GATO TETRA 2 LT;TETRA;$ 2.857;3,14;$ 910;1,50;4,71;;;
\PROVISIONES\BEBESTIBLES;GATO TETRA 2 LT ROJO, RED;TETRA;$ 3.500;3,85;$ 910;1,50;5,77;;;
\PROVISIONES\BEBESTIBLES;GATO WINE 700 CC ;BTLL;$ 1.932;2,12;$ 910;1,50;3,18;;;
\PROVISIONES\BEBESTIBLES;GATORADE 500 ML UNIDAD;BTLL;$ 942;1,04;$ 910;1,50;1,55;;;
\PROVISIONES\BEBESTIBLES;GATORADE 1 LT;BTLL;$ 1.337;1,47;$ 910;1,50;2,20;;;
\PROVISIONES\BEBESTIBLES;GRAPEFRUIT JUICE 100% - JUGO DE POMELO;LT;$ 4.538;4,99;$ 910;1,50;7,48;;;
\PROVISIONES\BEBESTIBLES;HEINEKEN 0 ALCOHOL 350 CC;LT;$ 915;1,01;$ 910;1,50;1,51;;;
\PROVISIONES\BEBESTIBLES;JOHNIE WALKER RED LABEL WHISKY;BTLL;$ 10.084;11,08;$ 910;1,50;16,62;;;
\PROVISIONES\BEBESTIBLES;JUICE 100% PINEAPPLE - JUGO 100% PIÑA;LT;$ 3.865;4,25;$ 910;1,50;6,37;;;
\PROVISIONES\BEBESTIBLES;JUICE ORANGE BANANA - JUGO NARANJA PLATANO;LT;$ 1.059;1,16;$ 910;1,50;1,75;;;
\PROVISIONES\BEBESTIBLES;JUICE TUTTIFRUIT - JUGO TUTTIFRUTA;LT;$ 1.059;1,16;$ 910;1,50;1,75;;;
\PROVISIONES\BEBESTIBLES;JUICE TUTTIKIWI;LT;$ 1.059;1,16;$ 910;1,50;1,75;;;
\PROVISIONES\BEBESTIBLES;LEON TARAPACA CABERNET 750 CC;BTLL;$ 1.790;1,97;$ 910;1,50;2,95;;;
\PROVISIONES\BEBESTIBLES;LEON TARAPACA CARMENERE 750 CC;BTLL;$ 1.790;1,97;$ 910;1,50;2,95;;;
\PROVISIONES\BEBESTIBLES;LIMON SODA 24*330ML;CAJA;$ 15.800;17,36;$ 910;1,50;26,04;;;
\PROVISIONES\BEBESTIBLES;LOCAL WINE RED - VINO TINTO 5LT;BIDON;$ 6.890;7,57;$ 910;1,50;11,36;;;
\PROVISIONES\BEBESTIBLES;MARTINI BIANCO 1LT;BTLL;$ 5.800;6,37;$ 910;1,50;9,56;;;
\PROVISIONES\BEBESTIBLES;MANGO JUICE - JUGO DE MANGO 0 % sugar;LT;$ 1.590;1,75;$ 910;1,50;2,62;;;
\PROVISIONES\BEBESTIBLES;MANGO SOUR 700ML;BTLL;$ 4.361;4,79;$ 910;1,50;7,19;;;
\PROVISIONES\BEBESTIBLES;MANQUEHUITO 800 CC ASSORTED;BTLL;$ 1.352;1,49;$ 910;1,50;2,23;;;
\PROVISIONES\BEBESTIBLES;MARQUEZ DE CONCHA CABERNET;BTLL;$ 9.850;10,82;$ 910;1,50;16,24;;;
\PROVISIONES\BEBESTIBLES;MIGUEL TORRES CABERNET SAUVIGNON;BTLL;$ 6.490;7,13;$ 910;1,50;10,70;;;
\PROVISIONES\BEBESTIBLES;MIGUEL TORRES RESERVA 750ML;BTLL;$ 9.800;10,77;$ 910;1,50;16,15;;;
\PROVISIONES\BEBESTIBLES;MINERAL WATER 5 LT;BTLL;$ 1.490;1,64;$ 910;1,50;2,46;;;
\PROVISIONES\BEBESTIBLES;MINERAL WATER 5LT DRUM + WATER PACKAGING;DRUM;$ 5.500;6,04;$ 910;1,50;9,07;;;
\PROVISIONES\BEBESTIBLES;MINERAL WATER 500 ML;BTLL;$ 320;0,35;$ 910;1,50;0,53;;;
\PROVISIONES\BEBESTIBLES;MINERAL WATER 500 ML X 12 - AGUA MINERAL 500 ML X 12 U;PACK;$ 3.840;4,22;$ 910;1,50;6,33;;;
\PROVISIONES\BEBESTIBLES;MISIONES DE RENGO  750 CC;BTLL;$ 2.380;2,62;$ 910;1,50;3,92;;;
\PROVISIONES\BEBESTIBLES;MISIONES DE RENGO VARIETAL CABERNET ;BTLL;$ 2.065;2,27;$ 910;1,50;3,40;;;
\PROVISIONES\BEBESTIBLES;ORANGE JUICE-JUGO NARANJA 100%;LT;$ 3.865;4,25;$ 910;1,50;6,37;;;
\PROVISIONES\BEBESTIBLES;PEPSI COLA 24 X 330 ML;CAJA;$ 15.800;17,36;$ 910;1,50;26,04;;;
\PROVISIONES\BEBESTIBLES;PINOT RED WINE;BTLL;$ 2.490;2,74;$ 910;1,50;4,10;;;
\PROVISIONES\BEBESTIBLES;PISCO 40º - PISCO ALTO DEL CARMEN;BTLL;$ 5.958;6,55;$ 910;1,50;9,82;;;
\PROVISIONES\BEBESTIBLES;PISCO ALTO DEL CARMEN RESERVADO 40 %;BTLL;$ 6.715;7,38;$ 910;1,50;11,07;;;
\PROVISIONES\BEBESTIBLES;PISCO MISTRAL 35;BTLL;$ 5.875;6,46;$ 910;1,50;9,68;;;
\PROVISIONES\BEBESTIBLES;PISCO SOUR 750 ML - ALCOHOL;UNID;$ 3.868;4,25;$ 910;1,50;6,38;;;
\PROVISIONES\BEBESTIBLES;POWERADE BLUE 1 LT X 6 UN;BOX;$ 5.694;6,26;$ 910;1,50;9,39;;;
