;;;;;$ 910;1,50;
;;;;;;;
FAMILIA PRODUCTOS;DESCRIPCIÓN;UNIDAD DE MEDIDA;COSTO NETO PESOS;PRECIO COSTO DÓLAR;VALOR DÓLAR $;PORCENTAJE;PRECIO VENTA NETO 
\PROVISIONES\FRUTAS Y VERDURAS;LETTUCE HEAD - LECHUGA;KG;$ 900;0,99;$ 910;1,50;1,48
\PROVISIONES\FRUTAS Y VERDURAS;LETTUCE ICEBERG - LECHUGA ESCAROLA;KG;$ 900;0,99;$ 910;1,50;1,48
\PROVISIONES\FRUTAS Y VERDURAS;LETTUCE ICEBERG -LECHUGA ESCAROLA PCS;KG;$ 1.200;1,32;$ 910;1,50;1,98
\PROVISIONES\FRUTAS Y VERDURAS;LETTUCE LOLLO ROSSO;KG;$ 3.000;3,30;$ 910;1,50;4,95
\PROVISIONES\FRUTAS Y VERDURAS;LETTUCE ORGANIC ;UNID;;0,00;$ 910;1,50;0,00
\PROVISIONES\FRUTAS Y VERDURAS;LIMON PICA;KG;$ 3.857;4,24;$ 910;1,50;6,36
\PROVISIONES\FRUTAS Y VERDURAS;LIMON SUTIL;KG;$ 3.300;3,63;$ 910;1,50;5,44
\PROVISIONES\FRUTAS Y VERDURAS;MANDARINE-MANDARINA;KG;$ 1.400;1,54;$ 910;1,50;2,31
\PROVISIONES\FRUTAS Y VERDURAS;MANGO;KG;$ 2.512;2,76;$ 910;1,50;4,14
\PROVISIONES\FRUTAS Y VERDURAS;MARROW ZUCCHINI - ZAPALLO ITALIANO;KG;$ 800;0,88;$ 910;1,50;1,32
\PROVISIONES\FRUTAS Y VERDURAS;MELONS SWEET- MELON;KG;$ 1.500;1,65;$ 910;1,50;2,47
\PROVISIONES\FRUTAS Y VERDURAS;MINT - MENTA;KG;$ 10.000;10,99;$ 910;1,50;16,48
\PROVISIONES\FRUTAS Y VERDURAS;MUSHROOM WHITE;KG;$ 7.521;8,26;$ 910;1,50;12,40
\PROVISIONES\FRUTAS Y VERDURAS;ONION - CEBOLLA;KG;$ 820;0,90;$ 910;1,50;1,35
\PROVISIONES\FRUTAS Y VERDURAS;ONION SPRING - CEBOLLIN;KG;$ 1.800;1,98;$ 910;1,50;2,97
\PROVISIONES\FRUTAS Y VERDURAS;ORANGE - NARANJA;KG;$ 1.500;1,65;$ 910;1,50;2,47
\PROVISIONES\FRUTAS Y VERDURAS;PARSLEY - PEREJIL;KG;$ 2.000;;;;
\PROVISIONES\FRUTAS Y VERDURAS;PEARS - PERAS;KG;$ 1.600;1,76;$ 910;1,50;2,64
\PROVISIONES\FRUTAS Y VERDURAS;PEPPERS GREEN - PIMENTON VERDE;KG;$ 2.800;3,08;$ 910;1,50;4,62
\PROVISIONES\FRUTAS Y VERDURAS;PEPPERS RED - PIMENTON ROJO;KG;$ 3.900;4,29;$ 910;1,50;6,43
\PROVISIONES\FRUTAS Y VERDURAS;PEPPERS YELLOW - PIMENTON AMARILLO;KG;$ 4.000;4,40;$ 910;1,50;6,59
\PROVISIONES\FRUTAS Y VERDURAS;PETCHAY - ACELGA;KG;$ 1.200;1,32;$ 910;1,50;1,98
\PROVISIONES\FRUTAS Y VERDURAS;PINEAPPLE - PIÑA;KG;$ 2.000;2,20;$ 910;1,50;3,30
\PROVISIONES\FRUTAS Y VERDURAS;POTATO - PAPAS;KG;$ 650;0,71;$ 910;1,50;1,07
\PROVISIONES\FRUTAS Y VERDURAS;PUMPKIN SQUASH FRESH - ZAPALLO;KG;$ 1.100;1,21;$ 910;1,50;1,81
\PROVISIONES\FRUTAS Y VERDURAS;RADISH RED - RABANITO ;KG;$ 1.600;1,76;$ 910;1,50;2,64
\PROVISIONES\FRUTAS Y VERDURAS;RED ONION - CEBOLLA MORADA;KG;$ 1.100;1,21;$ 910;1,50;1,81
\PROVISIONES\FRUTAS Y VERDURAS;RUCULA FRESH - RUCULA;KG;$ 8.000;8,79;$ 910;1,50;13,19
\PROVISIONES\FRUTAS Y VERDURAS;SHIITAKE MUSHROOM - CHAMPIÑON SHIITAKE 100 GR;PKT;$ 1.504;1,65;$ 910;1,50;2,48
\PROVISIONES\FRUTAS Y VERDURAS;SPINACH - ESPINACA;KG;$ 2.500;2,75;$ 910;1,50;4,12
\PROVISIONES\FRUTAS Y VERDURAS;SPROUTS - DIENTE DE DRAGON;KG;$ 2.017;2,22;$ 910;1,50;3,32
\PROVISIONES\FRUTAS Y VERDURAS;STRAWBERRY - FRUTILLA;KG;$ 7.560;8,31;$ 910;1,50;12,46
\PROVISIONES\FRUTAS Y VERDURAS;SWET POTATO - PAPA CAMOTE;KG;$ 2.000;2,20;$ 910;1,50;3,30
\PROVISIONES\FRUTAS Y VERDURAS;TOMATES;KG;$ 1.200;1,32;$ 910;1,50;1,98
\PROVISIONES\FRUTAS Y VERDURAS;TOMATES CHERRY;KG;$ 3.200;3,52;$ 910;1,50;5,27
\PROVISIONES\FRUTAS Y VERDURAS;WATERMELON - SANDIA;KG;$ 1.100;1,21;$ 910;1,50;1,81
\PROVISIONES\FRUTAS Y VERDURAS;WHITE RADISH - RABANO BLANCO;KG;$ 2.000;2,20;$ 910;1,50;3,30
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
