;;;;;$ 930;1,55;;;;;;
;;;;;;;;;;;;
FAMILIA PRODUCTOS;DESCRIPCIÓN;UNIDAD DE MEDIDA;VALOR PESOS $;PRECIO COSTO NETO  ;TIPO CAMBIO $;PORCENTAJE;PRECIO VENTA NETO ;;;;;
\PROVISIONES\ABARROTES;BAKING CHOCOLATE KILO - CHOCOLATE COBERTURA ;KGS;$ 6.219;6,69;$ 930;1,55;10,37;;;;;
\PROVISIONES\ABARROTES;BAKING POWDER - POLVO DE HORNEAR;KGS;$ 4.300;4,62;$ 930;1,55;7,17;;;;;
\PROVISIONES\ABARROTES;BAKING POWDER X 200 GR - POLVO DE HORNEAR;PKT;$ 2.227;2,39;$ 930;1,55;3,71;;;;;
\PROVISIONES\ABARROTES;BAKING SODA - BICARBONATO 250 GRS ;TIN;$ 2.689;2,89;$ 930;1,55;4,48;;;;;
\PROVISIONES\ABARROTES;BAKING SODA - BICARBONATO KILO;KGS;$ 2.689;2,89;$ 930;1,55;4,48;;;;;
\PROVISIONES\ABARROTES;MASA FILO - PHYLLO;KGS;$ 10.105;10,87;$ 930;1,55;16,84;;;;;
\PROVISIONES\ABARROTES;BALSAMIC VINEGAR - VINAGRE BALSAMICO 500 ML;BTL;$ 2.479;2,67;$ 930;1,55;4,13;;;;;
\PROVISIONES\ABARROTES;BAMBOO SHOOTS 500 GRS - TALLOS DE BAMBU ;TIN;$ 0;0,00;$ 930;1,55;0,00;;;;;
\PROVISIONES\ABARROTES;BASE PIZZA 7 ´ ;PCS;$ 1.114;1,20;$ 930;1,55;1,86;;;;;
\PROVISIONES\ABARROTES;BASIL DRY - ALBAHACA 200 GR;PKT;$ 2.364;2,54;$ 930;1,55;3,94;;;;;
\PROVISIONES\ABARROTES;BASIL LEAVES DRY -  ALBAHACA SECA ;KGS;$ 11.820;12,71;$ 930;1,55;19,70;;;;;
\PROVISIONES\ABARROTES;BASTAMI RICE - ARROZ BASTAMI;KGS;$ 3.781;4,07;$ 930;1,55;6,30;;;;;
\PROVISIONES\ABARROTES;BEAN THREAD SOTANGHON NOODLES - FIDEOS DE POROTO 200 GRS;PKT;$ 1.260;1,35;$ 930;1,55;2,10;;;;;
\PROVISIONES\ABARROTES;BEAND CURD FRESH - TOFU ;KGS;$ 0;0,00;$ 930;1,55;0,00;;;;;
\PROVISIONES\ABARROTES;BEANS BLACK TIN - POROTO NEGRO 340GRS;BOX;$ 1.253;1,35;$ 930;1,55;2,09;;;;;
\PROVISIONES\ABARROTES;BEANS BLACK EYE - POROTO OJO NEGRO;KILO;$ 5.100;5,48;$ 930;1,55;;;;;;
\PROVISIONES\ABARROTES;BEANS BROWN - POROTOS CAFE;KGS;$ 3.200;3,44;$ 930;1,55;5,33;;;;;
\PROVISIONES\ABARROTES;BEANS WHITE - POROTOS BLANCO;KGS;$ 2.942;3,16;$ 930;1,55;4,90;;;;;
\PROVISIONES\ABARROTES;BEEF BOUILLON  - CONCENTRADO CARNE;KGS;$ 2.290;2,46;$ 930;1,55;3,82;;;;;
\PROVISIONES\ABARROTES;BEEF CUBES MAGGIE 12 X 10 GRS;PKT;$ 1.252;1,35;$ 930;1,55;2,09;;;;;
\PROVISIONES\ABARROTES;BEEF JERKY - CHARQUI 80 GRS;PKT;$ 0;0,00;$ 930;1,55;0,00;;;;;
\PROVISIONES\ABARROTES;BESAN FLOUR - HARINA DE GARBANZO;KGS;$ 2.689;2,89;$ 930;1,55;4,48;;;;;
\PROVISIONES\ABARROTES;BIG TIME 11 G X 5 U - CHICLE BIG TIME;PKT;$ 1.293;1,39;$ 930;1,55;2,16;;;;;
\PROVISIONES\ABARROTES;BISCUIT GRILL 140 GR - SALTED;PKT;$ 1.420;1,53;$ 930;1,55;2,37;;;;;
\PROVISIONES\ABARROTES;BISCUIT ASSORTED OREO 108 GRS - GALLETAS OREO 108 GR;PKT;$ 798;0,86;$ 930;1,55;1,33;;;;;
\PROVISIONES\ABARROTES;BISCUIT ASTD  120 GR - GALLETAS SURTIDAS 120 GR;PKT;$ 798;0,86;$ 930;1,55;1,33;;;;;
\PROVISIONES\ABARROTES;BISCUIT CHEESE - GALLETAS QUESO CLUB SOCIAL  200 GR;PKT;$ 0;0,00;$ 930;1,55;0,00;;;;;
\PROVISIONES\ABARROTES;BISCUIT DANISH - GALLETAS DANESAS 454 GRS;TIN;$ 5.874;6,32;$ 930;1,55;9,79;;;;;
