;;;;;$ 870;1,55;
;;;;;;;
FAMILIA PRODUCTOS;DESCRIPCIÓN;UNIDAD DE MEDIDA;VALOR PESOS $;PRECIO COSTO NETO  ;TIPO CAMBIO $;PORCENTAJE;PRECIO VENTA NETO 
\PROVISIONES\TOSTADURIA;BANANA CHIPS – BANANA CHIPS;GRS; $5.882 ;$ 6,76;$ 870;1,55;10,48
\PROVISIONES\TOSTADURIA;COCONUT DRINK 400ML – BEBIDA DE COCO 400ML;GRS; $1.504 ;$ 1,73;$ 870;1,55;2,68
\PROVISIONES\TOSTADURIA;SODIUM BICARBONATE / BAKING SODA – BICARBONATO DE SODIO;GRS; $2.689 ;$ 3,09;$ 870;1,55;4,79
\PROVISIONES\TOSTADURIA;DUTCH PROCESSED COCOA / SWEET COCOA – CACAO DULCE;GRS; $6.303 ;$ 7,24;$ 870;1,55;11,23
\PROVISIONES\TOSTADURIA;NATURAL ECUADORIAN COCOA – CACAO NATURAL ECUATORIANO;GRS; $12.076 ;$ 13,88;$ 870;1,55;21,51
\PROVISIONES\TOSTADURIA;CAJUN SEASONING – CAJÚN;GRS; $11.479 ;$ 13,19;$ 870;1,55;20,45
\PROVISIONES\TOSTADURIA;WILD MUSHROOMS – CALLAMPAS;GRS; $22.689 ;$ 26,08;$ 870;1,55;40,42
\PROVISIONES\TOSTADURIA;CINNAMON STICKS – CANELA ENTERA;GRS; $26.050 ;$ 29,94;$ 870;1,55;46,41
\PROVISIONES\TOSTADURIA;CINNAMON STICKS (CHINESE) – CANELA EN TIRA-CHINA;GRS; $21.008 ;$ 24,15;$ 870;1,55;37,43
\PROVISIONES\TOSTADURIA;CINNAMON POWDER – CANELA POLVO;GRS; $15.126 ;$ 17,39;$ 870;1,55;26,95
\PROVISIONES\TOSTADURIA;WHOLE CARDAMOM – CARDAMOMO ENTERO;GRS; $75.630 ;$ 86,93;$ 870;1,55;134,74
\PROVISIONES\TOSTADURIA;CARDAMOM POWDER – CARDAMOMO POLVO;GRS; $54.622 ;$ 62,78;$ 870;1,55;97,32
\PROVISIONES\TOSTADURIA;VEGETABLE MEAT (SOY) – CARNE VEGETAL (SOYA);GRS; $2.866 ;$ 3,29;$ 870;1,55;5,11
\PROVISIONES\TOSTADURIA;WHITE VEGETABLE MEAT (SOY) – CARNE VEGETAL BLANCA (SOYA);GRS; $2.866 ;$ 3,29;$ 870;1,55;5,11
\PROVISIONES\TOSTADURIA;COCOA SHELL / COCOA HUSK – CÁSCARA DE CACAO;GRS; $2.101 ;$ 2,41;$ 870;1,55;3,74
\PROVISIONES\TOSTADURIA;CASHEW NUTS – CASTAÑAS DE CAJÚ;GRS; $17.647 ;$ 20,28;$ 870;1,55;31,44
\PROVISIONES\TOSTADURIA;ONION POWDER – CEBOLLA EN POLVO;GRS; $6.555 ;$ 7,53;$ 870;1,55;11,68
\PROVISIONES\TOSTADURIA;LENTIL CEREAL WITH STEVIA – CEREAL DE LENTEJA CON STEVIA;GRS; $9.336 ;$ 10,73;$ 870;1,55;16,63
\PROVISIONES\TOSTADURIA;CHIA – CHÍA;GRS; $5.462 ;$ 6,28;$ 870;1,55;9,73
\PROVISIONES\TOSTADURIA;WHITE CHIA 500G – CHÍA BLANCA 500 GR;GRS; $5.462 ;$ 6,28;$ 870;1,55;9,73
\PROVISIONES\TOSTADURIA;WHITE CHIA 1KG – CHÍA BLANCA 1KG;GRS; $2.857 ;$ 3,28;$ 870;1,55;5,09
\PROVISIONES\TOSTADURIA;WHITE CHIA 250G – CHÍA BLANCA 250 GR;GRS; $1.513 ;$ 1,74;$ 870;1,55;2,70
\PROVISIONES\TOSTADURIA;CHILLI / CHILI POWDER – CHILLI POLVO;GRS; $6.639 ;$ 7,63;$ 870;1,55;11,83
\PROVISIONES\TOSTADURIA;CHOCOLATE CHIPS – CHISPAS DE CHOCOLATE;GRS; $8.824 ;$ 10,14;$ 870;1,55;15,72
\PROVISIONES\TOSTADURIA;FINE CHUCOCA – CHUCOCA FINA;GRS; $1.429 ;$ 1,64;$ 870;1,55;2,55
\PROVISIONES\TOSTADURIA;COARSE CHUCOCA – CHUCOCA GRUESA;GRS; $1.429 ;$ 1,64;$ 870;1,55;2,55
