;;;;;$ 920;1,50;;;;
;;;;;;;;;;
FAMILIA PRODUCTOS;DESCRIPCIÓN;UNIDAD DE MEDIDA;COSTO NETO PESOS;PRECIO COSTO DÓLAR;VALOR DÓLAR $;PORCENTAJE;PRECIO VENTA NETO ;;;
\PROVISIONES\BEBESTIBLES;7UP 24X330 ML;BOX;$ 15.900;17,28;$ 920;1,50;25,92;;;
\PROVISIONES\BEBESTIBLES;AGUA MINERAL-AGUA MINERAL 6*1.5 LTR;CS;$ 2.910;3,16;$ 920;1,50;4,74;;;
\PROVISIONES\BEBESTIBLES;ASSORTED NECTAR JUICE - JUGOS SURTIDOS;LTR;$ 640;0,70;$ 920;1,50;1,04;;;
\PROVISIONES\BEBESTIBLES;BACARDI LEMON FLAV 750 ML;BTLL;$ 5.950;6,47;$ 920;1,50;9,70;;;º
\PROVISIONES\BEBESTIBLES;BACARDI MOJITO 750 ML;BTLL;$ 5.490;5,97;$ 920;1,50;8,95;;;
\PROVISIONES\BEBESTIBLES;BACARDI ORO GOLD;BTLL;$ 4.950;5,38;$ 920;1,50;8,07;;;
\PROVISIONES\BEBESTIBLES;BEER - CERVEZA LATA;TIN;$ 454;0,49;$ 920;1,50;0,74;;;
\PROVISIONES\BEBESTIBLES;BEER ESCUDO 330 ML;TIN;$ 715;0,78;$ 920;1,50;1,17;;;
\PROVISIONES\BEBESTIBLES;BEER HEINEKEN 330 ML TIN;TIN;$ 924;1,00;$ 920;1,50;1,51;;;
\PROVISIONES\BEBESTIBLES;BEER NON ALCOHOL - CERVEZA SIN ALCOHOL;TIN;$ 747;0,81;$ 920;1,50;1,22;;;
\PROVISIONES\BEBESTIBLES;BODEGA UNO WINE WHITE - VINO BLANCO;LTS;$ 1.989;2,16;$ 920;1,50;3,24;;;
\PROVISIONES\BEBESTIBLES;BOLTON FLAVORED ASSORTED;BTLL;$ 0;0,00;$ 920;1,50;0,00;;;
\PROVISIONES\BEBESTIBLES;BUDWEISER X 330 ML;TIN;$ 690;0,75;$ 920;1,50;1,13;;;
\PROVISIONES\BEBESTIBLES;CAN COCA COLA - COCA COLA EN LATA 24 UNIDADES;CS;$ 12.990;14,12;$ 920;1,50;21,18;;;
\PROVISIONES\BEBESTIBLES;CAN FANTA - FANTA 24 * 330 ML;CS;$ 12.990;14,12;$ 920;1,50;21,18;;;
\PROVISIONES\BEBESTIBLES;CAN SPRITE - SPRITE 24 * 330 ML;CS;$ 12.990;14,12;$ 920;1,50;21,18;;;
\PROVISIONES\BEBESTIBLES;CARLSBERG 24X330 ML;CS;$ 0;0,00;$ 920;1,50;0,00;;;
\PROVISIONES\BEBESTIBLES;CASA SILVA CABERNET - VINO TINTO;BTLL;$ 6.590;7,16;$ 920;1,50;10,74;;;
\PROVISIONES\BEBESTIBLES;CASILLERO DEL DIABLO 750 CC;BTLL;$ 3.529;3,84;$ 920;1,50;5,75;;;
\PROVISIONES\BEBESTIBLES;CASILLERO DEL DIABLO CHARDONNAY 750 CC;BTLL;$ 3.442;3,74;$ 920;1,50;5,61;;;
\PROVISIONES\BEBESTIBLES;CASILLERO DEL DIABLO MERLOT 750 CC;BTLL;$ 3.442;3,74;$ 920;1,50;5,61;;;
\PROVISIONES\BEBESTIBLES;CASTILLO DE MOLINA ;BTLL;$ 5.210;5,66;$ 920;1,50;8,49;;;
\PROVISIONES\BEBESTIBLES;CERVEZA BECKER 24*330 ML;CS;$ 10.896;11,84;$ 920;1,50;17,77;;;
\PROVISIONES\BEBESTIBLES;CHAMPAGNE VALDIVIESO 750 CC;BTLL;$ 4.369;4,75;$ 920;1,50;7,12;;;
\PROVISIONES\BEBESTIBLES;CLOS DE PIRQUE 2 LT;BTLL;$ 2.857;3,11;$ 920;1,50;4,66;;;
\PROVISIONES\BEBESTIBLES;COCA COLA 3 LTR;BTLL;$ 2.680;2,91;$ 920;1,50;4,37;;;
\PROVISIONES\BEBESTIBLES;COCONUT WATER - AGUA DE COCO;BTLL;$ 1.250;1,36;$ 920;1,50;2,04;;;
\PROVISIONES\BEBESTIBLES;COGNAC 3 PALOS X 750 ML;BTLL;$ 3.480;3,78;$ 920;1,50;5,67;;;
\PROVISIONES\BEBESTIBLES;COOKING WINE - VINO PARA COCINAR TINTO;LTR;$ 1.611;1,75;$ 920;1,50;2,63;;;
